Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,Volkswagen Group of,VGA,Volkswagen,GLI,VW371040174,0,2.000,RVGAJ02.0V3A,Both,228,4,DXSA,M,Manual,7,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3625,2.62,30.9,2,"Equipped, not shifted by SIL",RVGA10082077,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0016092,0.0000851,174,0.0021224,,0.0007594,0.0001248,51.3000000,MPG,,,,,0.4112931,0.1170477,-0.8891528,16.450,0.42910,0.015690,2.790,0.19280,0.016630,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38002-0054,0,1.984,NVGAV02.0V7B,Car,315,4,DSFF,M,Manual,6,N,A,All Wheel Drive,2,Top gear ratio < 1,3750,3.27,39.4,1,Not eqipped,NVGA10070814,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0548,0.459,401,0.0123,,0.0041,0,22.1000000,MPG,20.1,21.5,25.2,,4.34,2.8,1.51,34.820,0.60770,0.018700,-39.340,0.44250,0.016300,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38002-0054,0,1.984,NVGAV02.0V7B,Car,315,4,DSFF,M,Manual,6,N,A,All Wheel Drive,2,Top gear ratio < 1,3750,3.27,39.4,1,Not eqipped,NVGA10070815,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0029,0.338,401,0.0073,0,0.0021,0,22.0000000,MPG,,,,,0.91,0.58,0.04,31.650,0.55250,0.017000,-8.140,0.41100,0.016300,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38002-0054,0,1.984,NVGAV02.0V7B,Car,315,4,DSFF,M,Manual,6,N,A,All Wheel Drive,2,Top gear ratio < 1,3750,3.27,39.4,1,Not eqipped,NVGA10070816,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0239,0.281,369,0.0105,,0.0019,0,23.9000000,MPG,23,22.7,27.4,,1.95,1.25,0.4,31.650,0.55250,0.017000,-8.140,0.41100,0.016300,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38002-0054,0,1.984,NVGAV02.0V7B,Car,315,4,DSFF,M,Manual,6,N,A,All Wheel Drive,2,Top gear ratio < 1,3750,3.27,39.4,1,Not eqipped,NVGA10070817,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0024,0.151,227,0.0007,,0.001,0,38.8000000,MPG,,,,,2.4,2.05,0.08,31.650,0.55250,0.017000,-8.140,0.41100,0.016300,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38002-0054,0,1.984,NVGAV02.0V7B,Car,315,4,DSFF,M,Manual,6,N,A,All Wheel Drive,2,Top gear ratio < 1,3750,3.27,39.4,1,Not eqipped,NVGA10070818,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0341,0.717,329,0.0158,,0.0114,0.001,26.7000000,MPG,18.3,30.7,,,1.48,0.71,0.42,31.650,0.55250,0.017000,-8.140,0.41100,0.016300,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38004-0068,0,1.984,RVGAV02.0V7B,Car,315,4,DSFE,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,A,All Wheel Drive,2,Top gear ratio < 1,3750,4.47,27.3,1,Not eqipped,RVGA10081288,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0598297,0.4458453,385,0.017638,,0.0051084,0.0005637,23.2000000,MPG,21.128981,22.7007542,26.1983097,,2.757185,2.02168,0.7624084,40.170,0.38780,0.020820,-31.250,0.27240,0.018570,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38004-0068,0,1.984,RVGAV02.0V7B,Car,315,4,DSFE,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,A,All Wheel Drive,2,Top gear ratio < 1,3750,4.47,27.3,1,Not eqipped,RVGA10081289,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0170237,0.1934296,316,0.0133259,0.0001859,0.0014878,0.0005398,28.0000000,MPG,27.0435086,27.0793377,31.1526088,,0.3670718,0.1291515,-0.4435247,36.520,0.35260,0.018920,-6.140,0.23340,0.017930,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38004-0068,0,1.984,RVGAV02.0V7B,Car,315,4,DSFE,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,A,All Wheel Drive,2,Top gear ratio < 1,3750,4.47,27.3,1,Not eqipped,RVGA10081290,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007081,0.1038096,210,0.0032367,0,0,0,42.2000000,MPG,,,,,0.0425095,0.2453937,-0.4544028,36.520,0.35260,0.018920,-6.140,0.23340,0.017930,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volkswagen Group of,VGA,Volkswagen,Golf R,VW38004-0068,0,1.984,RVGAV02.0V7B,Car,315,4,DSFE,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,A,All Wheel Drive,2,Top gear ratio < 1,3750,4.47,27.3,1,Not eqipped,RVGA10081291,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0379822,0.7081101,314,0.0128277,0.0000003,0.0119977,0.0005607,28.1000000,MPG,18.4542275,33.0410167,,,-4.360554,-2.569799,-1.396643,36.520,0.35260,0.018920,-6.140,0.23340,0.017930,TWC,Three-way catalyst,N,,,N,No averaging
