Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,Volvo,VVX,Volvo,XC40 B5 AWD,202420,0,1.969,RVVXJ02.0U70,Both,247,4,L1_7,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4250,3.33,26.6,1,Not eqipped,RVVX10080272,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.012,0.37,290,0.01,0.0011,0.0047,0.0009,30.5000000,MPG,29.0097,29.5616,33.8512,29.6057,-1.33,-0.83,-1.37,36.170,0.18430,0.022690,12.870,0.25092,0.021173,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC40 B5 AWD,202420,0,1.969,RVVXJ02.0U70,Both,247,4,L1_7,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4250,3.33,26.6,1,Not eqipped,RVVX10080275,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.23,206,0.001,0.0002,0.0004,0,43.0000000,MPG,,,,,3.92,3.31,0.2,36.170,0.18430,0.022690,12.870,0.25092,0.021173,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC40 Recharge,202406,0,0.001,RVVXV00.0Z0A,Car,248,,EH_1,A,Automatic,1,N,A,All Wheel Drive,1,No gear ratio < 1,4750,8.77,107.7,1,Not eqipped,RVVX10079169,MFR,No,,,,,81,Charge Depleting UDDS,62,Electricity,CD,,,,,,,,164.7000000,MPG,,,,,,,,28.730,0.26530,0.021620,6.200,0.25400,0.020700,,,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC40 Recharge,202406,0,0.001,RVVXV00.0Z0A,Car,248,,EH_1,A,Automatic,1,N,A,All Wheel Drive,1,No gear ratio < 1,4750,8.77,107.7,1,Not eqipped,RVVX10079170,MFR,No,,,,,84,Charge Depleting Highway,62,Electricity,CD,,,,,,,,133.1000000,MPG,,,,,,,,28.730,0.26530,0.021620,6.200,0.25400,0.020700,,,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC40 Recharge Twin,202401,0,0.001,RVVXV00.0Z0A,Car,402,,ER_1,A,Automatic,1,N,A,All Wheel Drive,1,No gear ratio < 1,5000,8.67,106.5,1,Not eqipped,RVVX10079129,MFR,No,,,,,81,Charge Depleting UDDS,62,Electricity,CD,,,,,,,,146.0000000,MPG,,,,,,,,31.100,0.42380,0.019900,-8.300,0.18900,0.020600,,,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC40 Recharge Twin,202401,0,0.001,RVVXV00.0Z0A,Car,402,,ER_1,A,Automatic,1,N,A,All Wheel Drive,1,No gear ratio < 1,5000,8.67,106.5,1,Not eqipped,RVVX10079130,MFR,No,,,,,84,Charge Depleting Highway,62,Electricity,CD,,,,,,,,123.7000000,MPG,,,,,,,,31.100,0.42380,0.019900,-8.300,0.18900,0.020600,,,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC60 B5 AWD,202416,0,1.969,RVVXJ02.0U70,Both,247,4,L1_3,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4500,3.33,26.2,1,Not eqipped,RVVX91005437,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0113061,0.2558864,315.2923279,0.0116967,,0.0045324,0.0008242,28.3000000,MPG,26.0078201,27.9110241,30.9115314,27.8884544,2.6419103,1.9700892,0.3118473,44.810,0.15020,0.024420,23.614,0.26676,0.022329,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC60 B5 AWD,202416,0,1.969,RVVXJ02.0U70,Both,247,4,L1_3,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,4500,3.33,26.2,1,Not eqipped,RVVX91005441,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0010897,0.1353527,222.3456421,0.0013958,,0.0007069,0.0000335,40.1000000,MPG,,,,,9.0020456,6.8114009,0.3032069,44.810,0.15020,0.024420,23.614,0.26676,0.022329,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC60 T8 AWD Recharge Extended Range,202211,2,1.969,NVVXJ02.0P3L,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.33,26.7,1,Not eqipped,NVVX10072931,MFR,No,,,,,84,Charge Depleting Highway,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,41.140,0.35390,0.023030,-1.268,0.41240,0.020571,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC60 T8 AWD Recharge Extended Range,202211,2,1.969,NVVXJ02.0P3L,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.33,26.7,1,Not eqipped,NVVX10072932,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.002,0.27,223,0.001,0.0005,0.0011,0,39.5000000,MPG,,,,,4.76,3.74,-0.1,41.140,0.35390,0.023030,-1.268,0.41240,0.020571,TWC,Three-way catalyst,N,,,N,No averaging
